outcome,var,r,ci_low,ci_high,p,n,p_fdr,sig_fdr,reject_fdr
Depression_Score,PIT_Pos_Vivid,-0.28977176292216394,-0.4440276896428266,-0.11883351978127439,0.0011501869267449677,123,0.0014788117629578156,**,True
Depression_Score,PIT_Neg_Vivid,0.18173742673248033,0.0033495532441723723,0.3489153194501264,0.0460421177355647,121,0.05179738245251029,,False
Depression_Score,PIT_Pos_Likelihood,-0.4433782445100789,-0.5752587094054797,-0.28903084450014416,2.807748646698938e-07,123,8.423245940096814e-07,***,True
Depression_Score,PIT_Neg_Likelihood,0.37228840828553267,0.20831330478105572,0.5159074440877609,2.4156301730548882e-05,122,4.3481343114987986e-05,***,True
Depression_Score,IFES_Negative,0.6490187281534187,0.5332545885056241,0.7409221535260343,4.726006710388216e-16,123,4.2534060393493954e-15,***,True
Depression_Score,Intrusive_Visual,0.4818101234533694,0.333196408252687,0.6070637886014392,1.6800064592069352e-08,123,7.56002906643121e-08,***,True
Depression_Score,Intrusive_Verbal,0.43403027379115194,0.2783866735373972,0.5674618391802737,5.294363997513368e-07,123,1.1912318994405079e-06,***,True
Depression_Score,HIT_Negative,0.06201139743528786,-0.15060413574569023,0.269143932638443,0.5682792811210186,87,0.5682792811210186,,False
Depression_Score,PSIQ_Total,-0.29545181976841345,-0.4490011122394181,-0.12495315999718143,0.0009077845143566341,123,0.0013616767715349512,**,True
Anxiety_Score,PIT_Pos_Vivid,-0.255076633459681,-0.413441089319922,-0.08173313329914512,0.004409044495061864,123,0.005668771493650968,**,True
Anxiety_Score,PIT_Neg_Vivid,0.04117272312133077,-0.13834049856866112,0.2180666416399278,0.6538724322401536,121,0.6538724322401536,,False
Anxiety_Score,PIT_Pos_Likelihood,-0.3321560099489635,-0.48091132028692557,-0.1648131728881792,0.00017451068989318415,123,0.00039264905225966433,***,True
Anxiety_Score,PIT_Neg_Likelihood,0.2822496690190111,0.11000817420049563,0.438033177193504,0.0016340762432959918,122,0.0024511143649439877,**,True
Anxiety_Score,IFES_Negative,0.5170247015392552,0.3742454624273927,0.6358582280853381,9.214122783309653e-10,123,8.292710504978688e-09,***,True
Anxiety_Score,Intrusive_Visual,0.3680402178985094,0.20431838799171212,0.5117322629295962,2.8134934738068295e-05,123,8.440480421420489e-05,***,True
Anxiety_Score,Intrusive_Verbal,0.44018042618053443,0.2853853134628566,0.5725941963181559,3.4955576048677293e-07,123,1.5730009221904782e-06,***,True
Anxiety_Score,HIT_Negative,0.1967763582350854,-0.014471757461533888,0.3912087740969316,0.0677350223312245,87,0.07620190012262756,,False
Anxiety_Score,PSIQ_Total,-0.28495440709782166,-0.43980218034104157,-0.11365350345627503,0.0014005904716201095,123,0.0024511143649439877,**,True
